City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,San Quintin,MX,2021-03-07 23:47:25,30.4833,-115.95,59.9,68,61,12.41,broken clouds
185,Nsanje,MW,2021-03-07 23:47:26,-16.92,35.262,69.3,94,26,1.52,scattered clouds
186,Bathsheba,BB,2021-03-07 23:47:26,13.2167,-59.5167,78.8,65,75,23.02,broken clouds
187,Castro,BR,2021-03-07 23:47:27,-24.7911,-50.0119,61.72,96,44,6.6,scattered clouds
188,San Marcos,US,2021-03-07 23:47:27,33.1434,-117.1661,60.01,67,1,9.22,clear sky
189,Talaya,RU,2021-03-07 23:47:28,61.3833,152.75,-18.22,82,56,2.06,broken clouds
190,Naze,JP,2021-03-07 23:47:28,28.3667,129.4833,66.2,88,20,1.14,few clouds
191,Port-Gentil,GA,2021-03-07 23:47:28,-0.7193,8.7815,80.6,89,20,4.61,few clouds
192,Bahia De Caraquez,EC,2021-03-07 23:47:29,-0.6,-80.4167,80.6,83,75,8.05,moderate rain
193,Bethel,US,2021-03-07 23:43:37,41.3712,-73.414,37.4,32,1,4.61,clear sky
194,Iskateley,RU,2021-03-07 23:47:29,67.6803,53.1512,-29.04,85,80,9.19,broken clouds
195,San Juan,AR,2021-03-07 23:42:34,-31.5375,-68.5364,89.85,26,0,7.49,clear sky
196,Zhezkazgan,KZ,2021-03-07 23:47:30,47.8043,67.7144,29.55,96,100,13.44,snow
197,Ulladulla,AU,2021-03-07 23:47:31,-35.35,150.4667,75.99,57,0,1.14,clear sky
198,Hithadhoo,MV,2021-03-07 23:47:31,-0.6,73.0833,82.96,67,0,8.72,clear sky
199,Imbituba,BR,2021-03-07 23:47:32,-28.24,-48.6703,75.2,78,75,5.75,broken clouds
200,Gashua,NG,2021-03-07 23:47:32,12.871,11.0482,74.59,14,0,9.15,clear sky
201,Newala,TZ,2021-03-07 23:47:33,-10.9431,39.2787,65.53,100,87,0.87,overcast clouds
202,Quelimane,MZ,2021-03-07 23:47:33,-17.8786,36.8883,80.6,78,20,2.59,few clouds
203,Katsuura,JP,2021-03-07 23:47:34,35.1333,140.3,45.0,87,75,10.36,broken clouds
